Geography,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Georgia,8982732.055555552,9084055.555555552,9185379.055555552,9286702.555555552,9388026.055555552,9489349.555555552,9590673.055555552,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475
Hawaii,1325379.4000000004,1332736.0,1340092.5999999996,1347449.2000000011,1354805.8000000007,1362162.4000000004,1369519.0,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491
Idaho,1396290.7388888896,1418856.388888888,1441422.0388888866,1463987.6888888925,1486553.338888891,1509118.9888888896,1531684.638888888,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208
Illinois,12989117.355555553,12975944.22222222,12962771.088888887,12949597.955555554,12936424.822222222,12923251.688888885,12910078.555555552,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080
Indiana,6319490.51111111,6343977.44444444,6368464.377777778,6392951.3111111075,6417438.244444445,6441925.177777775,6466412.111111112,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878
Iowa,2959821.7388888896,2973055.388888888,2986289.0388888903,2999522.688888889,3012756.338888891,3025989.9888888896,3039223.638888888,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145
Kansas,2820021.7888888884,2826787.222222222,2833552.6555555556,2840318.088888889,2847083.522222221,2853848.9555555545,2860614.388888888,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505
Kentucky,4254753.377777778,4269067.444444444,4283381.51111111,4297695.577777777,4312009.644444443,4326323.71111111,4340637.777777776,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402
Louisiana,4456218.411111109,4471947.777777776,4487677.144444443,4503406.51111111,4519135.877777774,4534865.244444441,4550594.611111108,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978
Maine,1317535.5055555557,1318726.7222222225,1319917.9388888888,1321109.1555555556,1322300.3722222224,1323491.5888888892,1324682.8055555555,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404
Maryland,5596263.105555557,5627467.388888888,5658671.672222219,5689875.955555558,5721080.23888889,5752284.522222221,5783488.80555556,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718
Massachusetts,6286806.588888884,6328487.222222224,6370167.855555549,6411848.48888889,6453529.122222215,6495209.755555555,6536890.388888881,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149
Michigan,9765829.966666669,9780620.666666668,9795411.366666667,9810202.06666667,9824992.76666667,9839783.466666669,9854574.166666668,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915
Minnesota,5044646.950000003,5081835.833333343,5119024.716666669,5156213.600000009,5193402.483333334,5230591.366666675,5267780.25,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179
Mississippi,2965514.5055555557,2967289.7222222225,2969064.938888889,2970840.1555555556,2972615.3722222224,2974390.588888889,2976165.8055555555,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530
Missouri,5878890.755555555,5895159.888888888,5911429.022222221,5927698.155555554,5943967.28888889,5960236.422222223,5976505.555555556,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452
Montana,923833.8444444463,932918.7777777798,942003.7111111134,951088.644444447,960173.5777777806,969258.5111111142,978343.4444444478,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305
Nebraska,1739600.6555555575,1752289.555555556,1764978.4555555582,1777667.3555555567,1790356.255555559,1803045.1555555575,1815734.055555556,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268
Nevada,2371755.399999991,2414232.6666666567,2456709.9333333224,2499187.199999988,2541664.4666666538,2584141.7333333194,2626618.999999985,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392
New Hampshire,1279761.3111111112,1284682.777777778,1289604.2444444448,1294525.7111111116,1299447.1777777784,1304368.6444444451,1309290.111111112,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458
New Jersey,8733839.883333335,8745313.833333334,8756787.783333333,8768261.733333336,8779735.683333335,8791209.633333335,8802683.583333334,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
New Mexico,2056284.6277777776,2059122.277777778,2061959.9277777774,2064797.5777777778,2067635.2277777772,2070472.8777777776,2073310.527777778,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428
New York,19391409.849999998,19408286.166666668,19425162.48333333,19442038.8,19458915.116666663,19475791.433333334,19492667.749999996,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
