,County,Year,State,MME,Deaths
209,GALLATIN,2012,IL,1024.7486475000003,
210,GREENE,2006,IL,3502.209600000016,
211,GREENE,2007,IL,3914.0693550000096,
212,GREENE,2008,IL,3477.0222750000116,
213,GREENE,2009,IL,3784.5726900000222,
214,GREENE,2010,IL,3905.735014987518,
215,GREENE,2011,IL,4728.050430000028,
216,GREENE,2012,IL,4673.672242500016,
217,GRUNDY,2006,IL,6752.818881500102,
218,GRUNDY,2007,IL,7472.6335650876135,
219,GRUNDY,2008,IL,7600.988254087641,
220,GRUNDY,2009,IL,8261.49141750016,
221,GRUNDY,2010,IL,10559.161410000239,
222,GRUNDY,2011,IL,12530.515578862727,
223,GRUNDY,2012,IL,13068.279798862677,13.0
224,HAMILTON,2006,IL,656.2827600000005,
225,HAMILTON,2007,IL,839.5198875000028,
226,HAMILTON,2008,IL,850.6852125000032,
227,HAMILTON,2009,IL,933.5380125000022,
228,HAMILTON,2010,IL,1005.8780625000029,
229,HAMILTON,2011,IL,1306.480200000003,
230,HAMILTON,2012,IL,1321.9060875000084,
231,HANCOCK,2006,IL,1305.0569099999996,
232,HANCOCK,2007,IL,1401.5354774999992,
233,HANCOCK,2008,IL,1443.5086800000017,
234,HANCOCK,2009,IL,1719.6548100000048,
235,HANCOCK,2010,IL,1902.4525875000047,
236,HANCOCK,2011,IL,2254.706557500008,
237,HANCOCK,2012,IL,2004.8976375000063,
238,HARDIN,2006,IL,2265.5830500000034,
239,HARDIN,2007,IL,2586.5215250000047,
240,HARDIN,2008,IL,2930.4834274500013,
241,HARDIN,2009,IL,3470.983456125007,
242,HARDIN,2010,IL,3966.8578950000033,
243,HARDIN,2011,IL,4220.383582725007,
244,HARDIN,2012,IL,3904.6637229375083,
245,HENDERSON,2007,IL,5.29725,
246,HENDERSON,2008,IL,212.28596249999987,
247,HENDERSON,2009,IL,238.26989999999967,
248,HENDERSON,2010,IL,298.9681499999997,
249,HENDERSON,2011,IL,362.6585999999992,
250,HENDERSON,2012,IL,466.8743999999985,
251,HENRY,2006,IL,3383.4439674999926,
252,HENRY,2007,IL,3750.7671273625037,
253,HENRY,2008,IL,4513.888515000025,
254,HENRY,2009,IL,4817.373697500041,
255,HENRY,2010,IL,4970.145240000061,
256,HENRY,2011,IL,6152.232915000099,
257,HENRY,2012,IL,6160.648500225114,
258,IROQUOIS,2006,IL,3949.0426859999825,
259,IROQUOIS,2007,IL,4507.640773500001,
260,IROQUOIS,2008,IL,5168.6421383625275,
261,IROQUOIS,2009,IL,5845.586797500057,
262,IROQUOIS,2010,IL,5621.023462500069,
263,IROQUOIS,2011,IL,6649.747837500122,
264,IROQUOIS,2012,IL,7298.287500000108,
265,JACKSON,2006,IL,11999.984314500307,
266,JACKSON,2007,IL,14397.246402000337,
267,JACKSON,2008,IL,16397.170417500387,
268,JACKSON,2009,IL,16249.426680000322,
269,JACKSON,2010,IL,17488.02056250051,
270,JACKSON,2011,IL,19145.5322250005,
