,County,Deaths,MME,State,Year,County Code,Population
170,BAKER,0,21659.46165000021,FL,2012,12003,154518
171,BAKER,0,21659.46165000021,FL,2012,12003,156817
172,BAKER,0,21659.46165000021,FL,2012,12003,159115
173,BAKER,0,21659.46165000021,FL,2012,12003,161413
174,BAKER,0,21659.46165000021,FL,2012,12003,163711
175,BAKER,0,21659.46165000021,FL,2012,12003,166009
176,BAKER,0,21659.46165000021,FL,2012,12003,27062
177,BAKER,0,21659.46165000021,FL,2012,12003,27043
178,BAKER,0,21659.46165000021,FL,2012,12003,27047
179,BAKER,0,21659.46165000021,FL,2012,12003,27001
180,BAKER,0,21659.46165000021,FL,2012,12003,27118
181,BAKER,0,21659.46165000021,FL,2012,12003,27351
182,BAY,0,61998.102472078564,FL,2006,12005,28731
183,BAY,0,61998.102472078564,FL,2006,12005,28601
184,BAY,0,61998.102472078564,FL,2006,12005,28471
185,BAY,0,61998.102472078564,FL,2006,12005,28341
186,BAY,0,61998.102472078564,FL,2006,12005,28211
187,BAY,0,61998.102472078564,FL,2006,12005,28081
188,BAY,0,61998.102472078564,FL,2006,12005,27951
189,BAY,0,61998.102472078564,FL,2006,12005,169205
190,BAY,0,61998.102472078564,FL,2006,12005,169541
191,BAY,0,61998.102472078564,FL,2006,12005,171749
192,BAY,0,61998.102472078564,FL,2006,12005,174606
193,BAY,0,61998.102472078564,FL,2006,12005,178305
194,BAY,0,61998.102472078564,FL,2006,12005,181387
195,BAY,0,61255.85799926616,FL,2007,12005,28731
196,BAY,0,61255.85799926616,FL,2007,12005,28601
197,BAY,0,61255.85799926616,FL,2007,12005,28471
198,BAY,0,61255.85799926616,FL,2007,12005,28341
199,BAY,0,61255.85799926616,FL,2007,12005,28211
200,BAY,0,61255.85799926616,FL,2007,12005,28081
201,BAY,0,61255.85799926616,FL,2007,12005,27951
202,BAY,0,61255.85799926616,FL,2007,12005,169205
203,BAY,0,61255.85799926616,FL,2007,12005,169541
204,BAY,0,61255.85799926616,FL,2007,12005,171749
205,BAY,0,61255.85799926616,FL,2007,12005,174606
206,BAY,0,61255.85799926616,FL,2007,12005,178305
207,BAY,0,61255.85799926616,FL,2007,12005,181387
208,BAY,0,65665.01292126594,FL,2008,12005,28731
209,BAY,0,65665.01292126594,FL,2008,12005,28601
210,BAY,0,65665.01292126594,FL,2008,12005,28471
211,BAY,0,65665.01292126594,FL,2008,12005,28341
212,BAY,0,65665.01292126594,FL,2008,12005,28211
213,BAY,0,65665.01292126594,FL,2008,12005,28081
214,BAY,0,65665.01292126594,FL,2008,12005,27951
215,BAY,0,65665.01292126594,FL,2008,12005,169205
216,BAY,0,65665.01292126594,FL,2008,12005,169541
217,BAY,0,65665.01292126594,FL,2008,12005,171749
218,BAY,0,65665.01292126594,FL,2008,12005,174606
219,BAY,0,65665.01292126594,FL,2008,12005,178305
220,BAY,0,65665.01292126594,FL,2008,12005,181387
