,County,Deaths,MME,QUANTITY,State,Year,County Code,Population,MME_Per_Capita,Deaths_Per_100000
92,DIXIE,,3098.6997413625013,1580.0,FL,2007,12029.0,16035.0,0.1932460081922358,
93,DIXIE,,3247.3897650000104,1634.0,FL,2008,12029.0,16081.0,0.20193954138424292,
94,DIXIE,,2874.669041362513,1555.0,FL,2009,12029.0,16127.0,0.17825194030895472,
95,DIXIE,,2657.1103500000117,1417.0,FL,2010,12029.0,16401.0,0.16200904518017264,
96,DIXIE,,2559.3821700000085,1305.0,FL,2011,12029.0,16405.0,0.15601232368180484,
97,DIXIE,,3326.242594312511,1550.0,FL,2012,12029.0,16154.0,0.20590829480701442,
98,DUVAL,146.0,293452.9754727002,196107.0,FL,2006,12031.0,816044.0,0.3596043540209844,17.891192141600207
99,DUVAL,140.0,344954.36544153484,232966.0,FL,2007,12031.0,826888.0,0.4171718121940757,16.930950745445575
100,DUVAL,108.0,408809.255086162,242406.0,FL,2008,12031.0,837732.0,0.4879952718604064,12.891951125180846
101,DUVAL,137.0,534398.118650884,284299.0,FL,2009,12031.0,848575.0,0.6297594421835242,16.144713195651534
102,DUVAL,38.0,765000.2969470624,360285.0,FL,2010,12031.0,865637.0,0.8837426045179011,4.389830841334185
103,DUVAL,147.0,659029.6981377021,359950.0,FL,2011,12031.0,872297.0,0.7555106782869849,16.85205841588358
104,DUVAL,30.0,555328.0796860629,322712.0,FL,2012,12031.0,880095.0,0.6309865181441354,3.4087229219572888
105,ESCAMBIA,45.0,96186.44732702237,63765.0,FL,2006,12033.0,289815.0,0.33188912695002803,15.527146628021324
106,ESCAMBIA,31.0,113832.92120254095,74727.0,FL,2007,12033.0,291992.0,0.38984945204848404,10.616729225458231
107,ESCAMBIA,28.0,116136.84399340069,75449.0,FL,2008,12033.0,294169.0,0.39479633813692366,9.51833809816806
108,ESCAMBIA,16.0,127790.39184473804,80002.0,FL,2009,12033.0,296346.0,0.4312202352815224,5.399094301930851
109,ESCAMBIA,25.0,156708.2074941154,92828.0,FL,2010,12033.0,298039.0,0.5257976556561906,8.388163965118657
110,ESCAMBIA,29.0,146310.74382428935,89697.0,FL,2011,12033.0,299357.0,0.48875003365309433,9.687430058425225
111,ESCAMBIA,25.0,129016.23428401133,77479.0,FL,2012,12033.0,303397.0,0.4252389914337035,8.240028741220248
112,FLAGLER,,21015.01938367547,13710.0,FL,2006,12035.0,86550.0,0.24280784960919086,
113,FLAGLER,,24313.08758776296,15080.0,FL,2007,12035.0,88613.0,0.27437382311582903,
114,FLAGLER,,30727.470412450482,17543.0,FL,2008,12035.0,90676.0,0.3388710398832159,
115,FLAGLER,,45094.2061172634,22838.0,FL,2009,12035.0,92740.0,0.48624332669035364,
116,FLAGLER,,54742.9390545383,25664.0,FL,2010,12035.0,96077.0,0.5697819358903619,
117,FLAGLER,16.0,58500.27469567639,27138.0,FL,2011,12035.0,97465.0,0.600218280363991,16.41614938695942
118,FLAGLER,,54252.2921795262,27385.0,FL,2012,12035.0,98447.0,0.551081213033675,
119,FRANKLIN,,2174.577223000009,1346.0,FL,2006,12037.0,11333.0,0.19188010438542388,
120,FRANKLIN,,2099.0765175000056,1241.0,FL,2007,12037.0,11372.0,0.1845828805399231,
121,FRANKLIN,,2152.9779473625103,1407.0,FL,2008,12037.0,11411.0,0.18867565922027082,
122,FRANKLIN,,1955.3521200000089,1382.0,FL,2009,12037.0,11450.0,0.17077311091703135,
123,FRANKLIN,,2736.8763675000123,1854.0,FL,2010,12037.0,11522.0,0.2375348348810981,
124,FRANKLIN,,2695.1848163625077,1703.0,FL,2011,12037.0,11469.0,0.2349973682415649,
125,FRANKLIN,,2741.9306925000096,1678.0,FL,2012,12037.0,11608.0,0.23621043181426685,
126,GADSDEN,,6021.017100225093,5176.0,FL,2006,12039.0,48152.0,0.1250418902688381,
127,GADSDEN,,7138.511467500113,5553.0,FL,2007,12039.0,47937.0,0.14891443910758106,
128,GADSDEN,,6724.820623500107,5676.0,FL,2008,12039.0,47722.0,0.14091657146599276,
129,GADSDEN,,7168.381856812628,5920.0,FL,2009,12039.0,47508.0,0.1508878895514993,
130,GADSDEN,,8384.369197500151,6329.0,FL,2010,12039.0,47793.0,0.1754309040549903,
131,GADSDEN,,10053.993885000134,6840.0,FL,2011,12039.0,47366.0,0.21226183095469608,
132,GADSDEN,,8671.229358862623,6238.0,FL,2012,12039.0,46581.0,0.18615378284842798,
133,GILCHRIST,,4032.6059500000065,1812.0,FL,2006,12041.0,16059.0,0.2511118967557137,
134,GILCHRIST,,4195.956289500011,1798.0,FL,2007,12041.0,16217.0,0.25873813217611213,
135,GILCHRIST,,4955.8422,2180.0,FL,2008,12041.0,16375.0,0.30264685190839696,
136,GILCHRIST,,6117.87199136251,2733.0,FL,2009,12041.0,16533.0,0.3700400406074221,
137,GILCHRIST,,5760.958282725,2748.0,FL,2010,12041.0,16999.0,0.3388998342681922,
138,GILCHRIST,,5709.0700050000205,2977.0,FL,2011,12041.0,16990.0,0.3360253092995892,
139,GILCHRIST,,5469.281212500022,2826.0,FL,2012,12041.0,16892.0,0.3237793755919975,
140,GLADES,,2627.311200000001,797.0,FL,2009,12043.0,12456.0,0.21092736030828524,
141,GLADES,,6489.442050000002,1859.0,FL,2010,12043.0,12870.0,0.5042301515151517,
142,GLADES,,4646.468100000006,1268.0,FL,2011,12043.0,12836.0,0.36198723122468107,
143,GLADES,,1898.2095000000024,484.0,FL,2012,12043.0,12670.0,0.14981921862667738,
144,GULF,,3543.341616000004,1917.0,FL,2006,12045.0,15532.0,0.22813170332217383,
145,GULF,,3813.9477660000057,2261.0,FL,2007,12045.0,15584.0,0.24473484124743364,
146,GULF,,3573.7142150000122,2219.0,FL,2008,12045.0,15635.0,0.22857142404860967,
147,GULF,,3494.621707500005,2370.0,FL,2009,12045.0,15687.0,0.2227718306559575,
148,GULF,,4311.71625000002,2762.0,FL,2010,12045.0,15823.0,0.2724967610440511,
149,GULF,,3866.418202500016,2569.0,FL,2011,12045.0,15758.0,0.24536224155984362,
150,GULF,,4012.6529025000227,3248.0,FL,2012,12045.0,15767.0,0.2544969177712959,
151,HAMILTON,,1804.8995505000075,1219.0,FL,2006,12047.0,14808.0,0.12188678758103778,
152,HAMILTON,,2249.3530935000053,1395.0,FL,2007,12047.0,14758.0,0.1524158485905953,
153,HAMILTON,,3039.991791000008,1773.0,FL,2008,12047.0,14708.0,0.20668967847430025,
154,HAMILTON,,2305.155352500005,1430.0,FL,2009,12047.0,14658.0,0.15726261103151895,
155,HAMILTON,,3470.68282886251,1921.0,FL,2010,12047.0,14683.0,0.23637423066556632,
156,HAMILTON,,3033.594877500013,1812.0,FL,2011,12047.0,14592.0,0.2078943857935864,
157,HAMILTON,,2549.667487500008,1360.0,FL,2012,12047.0,14720.0,0.1732111064877723,
158,HARDEE,,3682.5681049999953,2837.0,FL,2006,12049.0,27890.0,0.1320390141627822,
159,HARDEE,,3996.1595724999984,3019.0,FL,2007,12049.0,27825.0,0.1436175946990116,
160,HARDEE,,4647.926044500017,3329.0,FL,2008,12049.0,27759.0,0.16743852604560744,
161,HARDEE,,7751.621392500057,3960.0,FL,2009,12049.0,27694.0,0.27990255623962074,
162,HARDEE,,8867.193390000095,4379.0,FL,2010,12049.0,27724.0,0.31983816873467374,
163,HARDEE,,9282.533205000103,4573.0,FL,2011,12049.0,27682.0,0.3353274042699264,
164,HARDEE,,7940.830061362598,4096.0,FL,2012,12049.0,27444.0,0.289346671817614,
165,HENDRY,,16527.160282500314,9276.0,FL,2006,12051.0,36358.0,0.45456736571044376,
166,HENDRY,,19191.32901208789,9806.0,FL,2007,12051.0,36735.0,0.5224262695545907,
167,HENDRY,,20998.036911000414,10517.0,FL,2008,12051.0,37111.0,0.5658170599283343,
168,HENDRY,,22472.57688157541,11019.0,FL,2009,12051.0,37488.0,0.5994605442161601,
169,HENDRY,,27617.01531000045,12672.0,FL,2010,12051.0,39013.0,0.7078926334811588,
170,HENDRY,,26953.09624886293,12171.0,FL,2011,12051.0,38977.0,0.6915128472910417,
171,HENDRY,,19653.150187500432,10295.0,FL,2012,12051.0,37887.0,0.5187307041333553,
172,HERNANDO,25.0,78727.92757445497,53912.0,FL,2006,12053.0,160081.0,0.49180057330011034,15.61709384624034
173,HERNANDO,36.0,111241.43089612247,64728.0,FL,2007,12053.0,162371.0,0.6851065208449937,22.171446871670433
174,HERNANDO,45.0,197158.77536772226,85515.0,FL,2008,12053.0,164662.0,1.197354431306083,27.328709720518393
175,HERNANDO,43.0,245050.01594727515,98080.0,FL,2009,12053.0,166952.0,1.4677872439220563,25.75590588911783
176,HERNANDO,5.0,331289.8299954519,122381.0,FL,2010,12053.0,172966.0,1.9153465420686835,2.89074153301805
177,HERNANDO,33.0,239292.42987068728,101849.0,FL,2011,12053.0,172830.0,1.3845537804240426,19.093907307759068
178,HERNANDO,25.0,163153.66029019607,82000.0,FL,2012,12053.0,172719.0,0.944619065014249,14.474377457025572
179,HIGHLANDS,,22995.715222501014,16275.0,FL,2006,12055.0,93238.0,0.24663458270770516,
180,HIGHLANDS,,24466.187287941117,16112.0,FL,2007,12055.0,94138.0,0.25989703720007984,
181,HIGHLANDS,,28613.962263501002,17536.0,FL,2008,12055.0,95037.0,0.3010823391258247,
182,HIGHLANDS,,33721.28850067624,18859.0,FL,2009,12055.0,95937.0,0.3514940898785269,
183,HIGHLANDS,,45729.84357431388,23446.0,FL,2010,12055.0,98634.0,0.4636316440001813,
184,HIGHLANDS,17.0,54161.62926453876,26451.0,FL,2011,12055.0,98477.0,0.5499926811797553,17.2629141830072
185,HIGHLANDS,11.0,41042.59796340114,22165.0,FL,2012,12055.0,98222.0,0.4178554495265942,11.199120360000814
186,HILLSBOROUGH,185.0,1027723.7849867414,628041.0,FL,2006,12057.0,1132614.0,0.9073910308249248,16.333896632038805
187,HILLSBOROUGH,257.0,1189548.966784732,464509.0,FL,2007,12057.0,1157350.0,1.0278212872378554,22.20590141271007
188,HILLSBOROUGH,244.0,1507903.6186250553,536053.0,FL,2008,12057.0,1182087.0,1.2756282901555092,20.641458708199988
189,HILLSBOROUGH,270.0,2124149.0308500133,704001.0,FL,2009,12057.0,1206823.0,1.7601164635162019,22.372792033297344
190,HILLSBOROUGH,259.0,2801560.6110086474,886454.0,FL,2010,12057.0,1233491.0,2.271245279461826,20.997315748554307
191,HILLSBOROUGH,242.0,1533314.54995062,598107.0,FL,2011,12057.0,1271110.0,1.2062799835975013,19.03847818048792
192,HILLSBOROUGH,41.0,855609.6664839308,409951.0,FL,2012,12057.0,1281712.0,0.6675522008719047,3.198846542749073
193,HOLMES,,5115.2800700000325,2984.0,FL,2006,12059.0,20046.0,0.2551770961787904,
194,HOLMES,,5388.630639225034,3544.0,FL,2007,12059.0,19987.0,0.26960677636588953,
195,HOLMES,,5350.438789587534,3711.0,FL,2008,12059.0,19927.0,0.2685019716759941,
196,HOLMES,,5461.291740450045,2688.0,FL,2009,12059.0,19867.0,0.274892622965221,
197,HOLMES,,5004.425704087547,2432.0,FL,2010,12059.0,19845.0,0.25217564646447704,
198,HOLMES,,5188.443866362564,2596.0,FL,2011,12059.0,19838.0,0.26154067276754533,
199,HOLMES,,5462.5971600000785,2881.0,FL,2012,12059.0,19696.0,0.2773455097481762,
