,County,Year,State,QUANTITY,MME,Deaths
332,EFFINGHAM,2008,GA,7934.0,9306.235675500271,
333,EFFINGHAM,2009,GA,9078.0,10839.99955500032,
334,EFFINGHAM,2010,GA,8937.0,10935.415777725299,
335,EFFINGHAM,2011,GA,10650.0,12708.306435000377,
336,EFFINGHAM,2012,GA,11143.0,13752.690067500454,
337,ELBERT,2006,GA,4789.0,7556.672482000104,
338,ELBERT,2007,GA,5307.0,8698.89754750015,
339,ELBERT,2008,GA,6393.0,10830.832278500155,
340,ELBERT,2009,GA,6661.0,10518.180120000172,
341,ELBERT,2010,GA,6765.0,11271.80321250017,
342,ELBERT,2011,GA,6806.0,11048.981962500184,
343,ELBERT,2012,GA,7044.0,11702.900055900183,
344,EMANUEL,2006,GA,4293.0,8887.736872500149,
345,EMANUEL,2007,GA,4892.0,9642.899081000165,
346,EMANUEL,2008,GA,5483.0,11300.10041250021,
347,EMANUEL,2009,GA,4715.0,8834.366538862618,
348,EMANUEL,2010,GA,6056.0,12312.732892500222,
349,EMANUEL,2011,GA,6421.0,13627.770285225231,
350,EMANUEL,2012,GA,6821.0,13752.474684300216,
351,EVANS,2006,GA,3214.0,4318.8979409999965,
352,EVANS,2007,GA,4314.0,5490.0123350000395,
353,EVANS,2008,GA,4748.0,6166.583377500042,
354,EVANS,2009,GA,4356.0,5969.130540000044,
355,EVANS,2010,GA,4510.0,7041.55453500007,
356,EVANS,2011,GA,5076.0,8073.227715000067,
357,EVANS,2012,GA,5659.0,7630.125585000051,
358,FANNIN,2006,GA,6818.0,8589.841474000124,
359,FANNIN,2007,GA,7766.0,11839.507150500265,
360,FANNIN,2008,GA,8772.0,13813.790705000312,
361,FANNIN,2009,GA,10745.0,18341.772638175287,
362,FANNIN,2010,GA,12677.0,23418.773801362615,
363,FANNIN,2011,GA,10395.0,18193.81317067534,
364,FANNIN,2012,GA,11684.0,17950.255902037665,
365,FAYETTE,2006,GA,16249.0,22585.72325571216,
366,FAYETTE,2007,GA,17732.0,24898.48220084097,
367,FAYETTE,2008,GA,19465.0,26421.209483429197,
368,FAYETTE,2009,GA,21624.0,29384.10873491411,13.0
369,FAYETTE,2010,GA,22513.0,30660.98262465156,
370,FAYETTE,2011,GA,25107.0,35016.72134272681,10.0
371,FAYETTE,2012,GA,26747.0,35786.03886408921,
372,FLOYD,2006,GA,32534.0,43319.736009952765,15.0
373,FLOYD,2007,GA,39064.0,50949.98231057869,14.0
374,FLOYD,2008,GA,44980.0,55643.38887590427,13.0
375,FLOYD,2009,GA,47823.0,60090.13323409129,
376,FLOYD,2010,GA,50716.0,64480.0320938662,17.0
377,FLOYD,2011,GA,57339.0,73599.50484045474,11.0
378,FLOYD,2012,GA,55410.0,73445.99456497988,14.0
379,FORSYTH,2006,GA,15432.0,23957.384936725713,
380,FORSYTH,2007,GA,18007.0,30946.089410450993,15.0
381,FORSYTH,2008,GA,20772.0,35995.2040982263,13.0
382,FORSYTH,2009,GA,26883.0,49880.47563795142,13.0
383,FORSYTH,2010,GA,28855.0,57494.16120795157,13.0
384,FORSYTH,2011,GA,31332.0,60955.79370045144,25.0
385,FORSYTH,2012,GA,29599.0,60962.110924314096,13.0
386,FRANKLIN,2006,GA,8502.0,13745.249143862566,
387,FRANKLIN,2007,GA,9232.0,16023.043025000128,
388,FRANKLIN,2008,GA,9473.0,17553.755937500006,
389,FRANKLIN,2009,GA,10594.0,19573.507649999963,
390,FRANKLIN,2010,GA,12122.0,23194.638877499965,
391,FRANKLIN,2011,GA,12744.0,26354.97107294989,
392,FRANKLIN,2012,GA,11996.0,26069.729107724932,
393,FULTON,2006,GA,103855.0,124059.83383148852,75.0
394,FULTON,2007,GA,122131.0,143243.1710992921,91.0
395,FULTON,2008,GA,122970.0,157442.01897473092,113.0
396,FULTON,2009,GA,134568.0,193804.97527591765,78.0
397,FULTON,2010,GA,146912.0,249173.47378655005,109.0
398,FULTON,2011,GA,162545.0,266960.88088985434,95.0
399,FULTON,2012,GA,160027.0,228820.27510696382,92.0
400,GILMER,2006,GA,7027.0,10316.900070725154,
401,GILMER,2007,GA,8713.0,12522.306741450226,
402,GILMER,2008,GA,10938.0,15726.205813850343,
403,GILMER,2009,GA,12469.0,17856.14978021276,
404,GILMER,2010,GA,12988.0,20281.198459987798,
405,GILMER,2011,GA,13557.0,20971.320466350266,
406,GILMER,2012,GA,13016.0,19647.835808400287,
407,GLASCOCK,2006,GA,1.0,0.3027,
408,GLASCOCK,2007,GA,4.0,1.2108,
409,GLASCOCK,2008,GA,4.0,1.2108,
410,GLYNN,2006,GA,16279.0,23975.292711000784,
411,GLYNN,2007,GA,19585.0,29939.806739363557,
412,GLYNN,2008,GA,22010.0,30444.509966451198,
413,GLYNN,2009,GA,23928.0,37155.58612608826,
414,GLYNN,2010,GA,28005.0,54681.308171288365,
415,GLYNN,2011,GA,27297.0,49924.365217725695,
416,GLYNN,2012,GA,25067.0,35013.24119340055,
417,GORDON,2006,GA,10029.0,13377.658454000277,
418,GORDON,2007,GA,12244.0,16484.991748500208,
419,GORDON,2008,GA,13687.0,18083.266567500406,
420,GORDON,2009,GA,14563.0,19382.198032500415,12.0
421,GORDON,2010,GA,17378.0,27144.79042500059,
422,GORDON,2011,GA,17811.0,25952.494372500652,11.0
423,GORDON,2012,GA,17671.0,24075.749022038046,
424,GRADY,2006,GA,2436.0,2266.556958500009,
425,GRADY,2007,GA,2344.0,2793.3159120000005,
426,GRADY,2008,GA,2348.0,2959.7584709999974,
427,GRADY,2009,GA,2515.0,3091.5672825000074,
428,GRADY,2010,GA,3164.0,4079.5264088625045,
429,GRADY,2011,GA,3818.0,5123.661510225049,
430,GRADY,2012,GA,4359.0,6388.069935225103,
431,GREENE,2006,GA,3262.0,3760.1734017249946,
432,GREENE,2007,GA,4063.0,4626.894739500004,
433,GREENE,2008,GA,4427.0,5677.711566862526,
434,GREENE,2009,GA,4864.0,6041.123430225033,
435,GREENE,2010,GA,5224.0,6979.728723862537,
436,GREENE,2011,GA,6122.0,8809.313700675077,
437,GREENE,2012,GA,6303.0,9380.242279537593,
438,GWINNETT,2006,GA,75869.0,105160.13310983083,43.0
439,GWINNETT,2007,GA,88107.0,120667.08058314174,32.0
440,GWINNETT,2008,GA,92331.0,132376.90603786905,44.0
441,GWINNETT,2009,GA,100868.0,146513.83717317978,50.0
442,GWINNETT,2010,GA,107670.0,180745.40740659172,54.0
443,GWINNETT,2011,GA,134348.0,211691.5332206841,45.0
444,GWINNETT,2012,GA,133287.0,205313.57711225477,47.0
445,HABERSHAM,2006,GA,8025.0,11947.394466450307,
446,HABERSHAM,2007,GA,9267.0,14530.06021336287,
447,HABERSHAM,2008,GA,10778.0,17505.962451225478,
448,HABERSHAM,2009,GA,12116.0,21287.09015317541,
449,HABERSHAM,2010,GA,12533.0,21222.635677500395,
450,HABERSHAM,2011,GA,13310.0,21943.693920000456,
451,HABERSHAM,2012,GA,13066.0,20488.71002081288,
452,HALL,2006,GA,23478.0,37456.76444180125,12.0
453,HALL,2007,GA,29079.0,45313.39209037717,12.0
454,HALL,2008,GA,35776.0,52573.06447088952,14.0
455,HALL,2009,GA,40850.0,63283.70384340152,14.0
456,HALL,2010,GA,45322.0,80698.41317704033,22.0
457,HALL,2011,GA,47080.0,79414.02467362727,23.0
458,HALL,2012,GA,47974.0,76006.89618566471,21.0
459,HANCOCK,2006,GA,266.0,581.501146999999,
460,HANCOCK,2007,GA,253.0,576.7288499999997,
461,HANCOCK,2008,GA,263.0,657.8400734999998,
462,HANCOCK,2009,GA,280.0,595.8315000000001,
463,HANCOCK,2010,GA,495.0,1047.7002750000006,
464,HANCOCK,2011,GA,477.0,844.3413375000005,
465,HANCOCK,2012,GA,486.0,924.1319550000024,
466,HARALSON,2006,GA,13401.0,25999.723028450404,
467,HARALSON,2007,GA,17628.0,29705.630229662962,13.0
468,HARALSON,2008,GA,19208.0,28948.446513787865,
469,HARALSON,2009,GA,20107.0,32680.22076543788,11.0
470,HARALSON,2010,GA,20776.0,35773.42065180055,14.0
471,HARALSON,2011,GA,22671.0,38540.49735067554,
472,HARALSON,2012,GA,23612.0,38605.72934066308,
473,HARRIS,2006,GA,945.0,655.4507625000003,
474,HARRIS,2007,GA,826.0,711.6140475000011,
475,HARRIS,2008,GA,868.0,764.829112500001,
476,HARRIS,2009,GA,930.0,846.3689624999996,
477,HARRIS,2010,GA,1134.0,1156.425300000002,
478,HARRIS,2011,GA,770.0,1146.112650000004,
479,HARRIS,2012,GA,844.0,1146.9865650000029,
480,HART,2006,GA,5958.0,8871.457820437627,
481,HART,2007,GA,7282.0,9080.086503662631,
